LAUNCH_ID,PAYLOAD_ORG_CODE
6921,GSFC
6926,CNRS
6926,PARIS
6928,AFCRL
6929,AN
6932,FSU
6932,GSFC
6934,AFCRL
6935,AN
6938,ISAS
6938,RRL
6939,FIAN
6941,AN
6942,CARDE
6945,ISAS
6945,RRL
6946,GSFC
6947,AFCRL
6949,AFCRL
6949,ASE
6953,BRL
6966,CARDE
6968,GSFC
6973,DRTE
6977,AFCRL
6977,UMD
6978,CARDE
6979,CARDE
6986,AFCRL
6986,UMI
6990,GSFC
6995,DRTE
6997,LARC
7000,AFCRL
7000,UMD
7002,DRTE
7007,UMI
7008,GSFC
7012,AFCRL
7014,AFCRL
7017,AFSWC
7019,LPARL
7020,NRL
7021,GSFC
7022,GSFC
7024,GSFC
7025,NSA
7026,GSFC
7027,GSFC
7029,GSFC
7030,RAE
7030,WRE
7031,UMI
7033,GSFC
7035,GSFC
7036,AFCRL
7037,WSMR
7038,ICST
7038,QUB
7038,UCL
7039,AFCRL
7040,GSFC
7041,GSFC
7042,AEC
7043,AEC
7044,GSFC
7045,GSFC
7045,OKSU
7046,LUX
7046,RAE
7046,UCW
7050,GSFC
7050,OKSU
7051,NRL
7052,LARC
7060,AFCRL
7063,AFCRL
7063,UMD
7065,GCA
7066,GCA
7068,GCA
7069,JHU
7073,GSFC
7075,AFCRL
7075,UMD
7076,AFCRL
7076,UMD
7077,GSFC
7080,LARC
7083,AFCRL
7083,UMD
7103,SAND
7104,WRE
7105,WRE
7106,WRE
7107,WRE
7112,GSFC
7113,CNRS
7115,GSFC
7116,CNRS
7120,NSA
7121,UMI
7127,WRE
7132,GSFC
7134,LARC
7138,LARC
7139,AFCRL
7141,BRL
7142,RAE
7142,WRE
7144,NRL
7147,ICST
7147,UCL
7148,AFCRL
7150,GSFC
7152,GSFC
7158,GSFC
7167,CARDE
7169,AFSWC
7170,AFSWC
7171,PMR
7172,PMR
7173,PMR
7174,WSMR
7175,WSMR
7176,WSMR
7177,WSMR
7178,WSMR
7179,WSMR
7180,WSMR
7181,WSMR
7182,WSMR
7183,WSMR
7184,WSMR
7185,WSMR
7186,WSMR
7187,WSMR
7188,WSMR
7189,WSMR
7190,WSMR
7191,WSMR
7192,WSMR
7193,WSMR
7194,SIMED
7195,AFCRL
7196,US
7197,AFCRL
7198,AFCRL
7199,WSMR
7200,WSMR
7201,WSMR
7202,WSMR
7203,WSMR
7204,WSMR
7205,WSMR
7206,WSMR
7207,WSMR
7208,WSMR
7209,AFCRL
7211,AFCRL
7212,AFCRL
7216,SRDL
7217,SRDL
7218,SRDL
7219,SRDL
7220,SRDL
