LV_ID,LV_NAME,LV_VARIANT,LV_CLASS,LV_FAMILY_CODE,LV_ALIAS,MIN_STAGE,MAX_STAGE,LENGTH,DIAMETER,LAUNCH_MASS,LEO_CAPACITY,GTO_CAPACITY,TAKEOFF_THRUST,APOGEE,RANGE
204,Belier III,,research rocket,Belier,,1,1,3.8,.31,.4,0,0,,109,
205,Belisama,,research rocket,Belenos,,1,2,4.6,.21,.1,0,0,,92,
206,Berenice,,rocket test vehicle,Stromboli,,1,4,12.3,.56,3.4,0,0,170,250,
207,Black Arrow,BA0,big test rocket,BlackArrow,,1,3,12.9,2,18.1,0,0,222,550,
208,Black Arrow,,orbital launch vehicle,BlackArrow,,1,3,12.9,2,18.1,75,0,222,1600,
209,Black Brant 10CM1,,research rocket,Terrier,,1,3,14.5,.46,2.6,0,0,257,900,
210,Black Brant 8B,,research rocket,Nike,,1,2,11.9,.44,2,0,0,196,340,
211,Black Brant 8C,,research rocket,Nike,,1,2,11.9,.44,2,0,0,196,340,
212,Black Brant 9BM1,,research rocket,Terrier,,1,2,12.2,.46,2.2,0,0,257,300,
213,Black Brant 9CM1,,research rocket,Terrier,,1,2,12.2,.46,2.2,0,0,257,300,
214,Black Brant I,,research rocket,BB5,,1,1,8.4,.44,1,0,0,111,160,
215,Black Brant II,,research rocket,BB5,,1,1,8.4,.44,1,0,0,111,200,
216,Black Brant IIB,,research rocket,BB5,,1,1,8.4,.44,1,0,0,89,200,
217,Black Brant III,,research rocket,BB3,,1,1,5.5,.26,.3,0,0,49,170,
218,Black Brant IIIB,,research rocket,BB3,,1,1,5.5,.26,.3,0,0,44,220,
219,Black Brant IVA,,research rocket,BB5,,1,2,12,.44,1.4,0,0,111,850,
220,Black Brant IVB,,research rocket,BB5,,1,2,12,.44,1.4,0,0,111,950,
221,Black Brant IX,2,research rocket,Terrier,,1,2,12.2,.46,2.2,0,0,257,300,
222,Black Brant IX,3,research rocket,Terrier,,1,2,12.2,.46,2.2,0,0,257,300,
223,Black Brant IX,4,research rocket,Terrier,,1,2,12.2,.46,2.2,0,0,257,300,
224,Black Brant IX,,research rocket,Terrier,,1,2,12.2,.46,2.2,0,0,257,300,
225,Black Brant IXB,,research rocket,Terrier,,1,2,12.2,.46,2.2,0,0,257,300,
226,Black Brant VA,,research rocket,BB5,,1,1,8.3,.44,1.1,0,0,111,170,
227,Black Brant VB,,research rocket,BB5,,1,1,8.3,.44,1.2,0,0,68,400,
228,Black Brant VC,,research rocket,BB5,,1,1,8.3,.44,1.3,0,0,68,350,
229,Black Brant VI,,endoatmospheric weather rocket <80 km,BB6,,1,1,2.8,.12,.1,0,0,7,72,
230,Black Brant VII,,endoatmospheric weather rocket <80 km,BB7,,1,1,2.1,.09,0,0,9,,40,
231,Black Brant X,,research rocket,Terrier,,1,3,14.5,.46,2.6,0,0,257,900,
232,Black Brant XB,,research rocket,Terrier,,1,3,14.5,.46,2.6,0,0,257,900,
233,Black Brant XI,1,research rocket,Talos,,1,3,17,.76,5.3,0,0,489,1400,
234,Black Brant XI,,research rocket,Talos,,1,3,17,.76,5.3,0,0,489,1400,
235,Black Brant XIA,,research rocket,Talos,,1,3,17,.76,5.3,0,0,489,1400,
236,Black Brant XII,1,research rocket,Talos,,1,4,17,.76,5.3,0,0,489,1500,
237,Black Brant XII,,research rocket,Talos,,1,4,17,.76,5.3,0,0,489,1500,
238,Black Brant XIIA,,research rocket,Talos,,1,4,17,.76,5.3,0,0,489,1500,
239,Black Knight,201,rocket test vehicle,BlackKnight,,1,1,10.2,.91,5.4,0,0,75,500,
240,Black Knight,201/C,rocket test vehicle,BlackKnight,,1,2,11.6,.91,6.4,0,0,95,500,
241,Black Knight,201/C2,rocket test vehicle,BlackKnight,,1,2,11.6,.91,6.4,0,0,95,500,
242,Black Knight,301/C,rocket test vehicle,BlackKnight,,1,2,11.6,.91,6.4,0,0,95,500,
243,Black Knight,301/C2,rocket test vehicle,BlackKnight,,1,2,11.6,.91,6.4,0,0,95,500,
244,Black Sparrow,,tactical ballistic missile,BlackSparrow,,0,1,4.8,.53,1.2,0,0,,40,
245,Blue Scout I,,research rocket,Scout,,1,3,21.7,1.02,16.7,0,0,556,5000,
246,Blue Scout II,,orbital launch vehicle,Scout,,1,4,21.7,1.02,16.9,50,0,556,2500,
247,Blue Scout Jr,,research rocket,Sergeant,,1,4,12.4,.79,5.8,0,0,222,200000,
248,Blue Scout Jr SLV-1B(m),,research rocket,Sergeant,,1,3,12,.79,5.8,0,0,222,1000,
249,Blue Scout Jr SLV-1C,,research rocket,Sergeant,,1,3,12.4,.79,5.8,0,0,222,1000,
250,Blue Sparrow,,tactical ballistic missile,BlackSparrow,,0,1,6.5,.53,1.9,0,0,,100,
251,Blue Streak,,big test rocket,BlueStreak,,1,1,31.7,3.05,100,0,0,1512,250,
252,Blue Water,,missile,Raven,,1,2,7.6,.44,1.4,0,0,196,20,
253,Bold Orion,1,research rocket,Sergeant,,0,1,11.3,.79,,0,0,,100,
254,Bold Orion,2,research rocket,Sergeant,,0,2,11.3,.79,,0,0,,200,
255,Bomarc A,,cruise missile,Bomarc,,1,1,14.2,.89,6.8,0,0,,20,
256,Bomarc B,,cruise missile,Bomarc,,1,1,14.2,.89,6.8,0,0,,20,
257,Boosted Arcas,,exoatmospheric weather rocket,ArcasB,,1,2,3.4,.11,0,0,0,1,90,
258,Boosted Arcas 2,,exoatmospheric weather rocket,ArcasB,,1,2,3.4,.11,0,0,0,1,90,
259,Bukguekseong,,missile,Bukguekseong,,1,2,9.5,1.5,18,0,0,,500,3000
260,Bukguekseong-2,,missile,Bukguekseong,,1,2,9.5,1.5,18,0,0,,500,3000
261,Bulava,,missile,Topol,,1,3,20.5,1.8,47.1,0,0,890,1000,1050
262,Bull Goose,,cruise missile,BullGoose,,1,1,10.2,.85,3.5,0,0,,20,
263,Bullpup Apache,,endoatmoshpheric test/research,Bullpup,,1,2,7,.3,.4,0,0,111,50,
264,Bullpup Cajun,,endoatmoshpheric test/research,Bullpup,,1,2,7,.3,.4,0,0,111,41,
265,Bumper-WAC,,big test rocket,V-2,,1,2,17.2,1.65,12.9,0,0,267,250,
266,Burkan-1H,,tactical ballistic missile,R-11,,1,1,10,.88,5,0,0,90,150,
